date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:04:45	41231/41231	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2007:06:47%20GMT	http://www.w3schools.com/sql/sql_default.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_default.html	(from http://www.w3schools.com/sql/)
10:04:45	40957/40957	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2006:32:25%20GMT	http://www.w3schools.com/sql/sql_create_index.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_create_index.html	(from http://www.w3schools.com/sql/)
10:04:46	40691/40691	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2006:19:22%20GMT	http://www.w3schools.com/sql/sql_drop.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_drop.html	(from http://www.w3schools.com/sql/)
10:04:47	43777/43777	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2006:37:47%20GMT	http://www.w3schools.com/sql/sql_alter.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_alter.html	(from http://www.w3schools.com/sql/)
10:04:47	45200/45200	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2004:38:50%20GMT	http://www.w3schools.com/sql/sql_autoincrement.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_autoincrement.html	(from http://www.w3schools.com/sql/)
10:04:48	43111/43111	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2007:03:56%20GMT	http://www.w3schools.com/sql/sql_view.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_view.html	(from http://www.w3schools.com/sql/)
10:04:48	45137/45137	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2004:26:14%20GMT	http://www.w3schools.com/sql/sql_dates.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_dates.html	(from http://www.w3schools.com/sql/)
10:04:49	42526/42526	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2007:26:07%20GMT	http://www.w3schools.com/sql/sql_null_values.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_null_values.html	(from http://www.w3schools.com/sql/)
10:04:49	41901/41901	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2002:57:55%20GMT	http://www.w3schools.com/sql/sql_isnull.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_isnull.html	(from http://www.w3schools.com/sql/)
10:04:50	44750/44750	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2007:22:24%20GMT	http://www.w3schools.com/sql/sql_datatypes_general.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_datatypes_general.html	(from http://www.w3schools.com/sql/)
